"Id";"Requirement Summary";"Description";"Estimated Effort (man hours)";"Actual Effort (man hours)";"Size (Story Points)";"External Sources";"Internal Sources";"Baselines";"Categories";"Priority";"Criticality";"Feasibility";"Technical Risk";"Vote";"Release Id";"Status";"Parent Requirement";"Assignee";"Assignee Full Name";"Reporter";"Number Of Attachments";"Attachments";"Created On";"Updated On";"Custom Id";"Requirement Code";"Türksat Onay";"TŞM";"Danışman Onay";"Kapsam Dışı mı ?";"Fonksiyonel Olmayan Kategori";"Vasıflandırma Yöntemleri";"Test Metotları";"Test Seviyeleri";"Test Tipleri";"External Id";"Depends On";"Dependents";"Test Cases";"Sub-task";"Story";"Bug";"Epic";"Analysis";"Analysis Sub-task";"Use-Case";"Design Task"
"KKTCGBS-R222 {2}";"Yazılım LDAP sunucu bilgilerinin tanımlanmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"10 May 2018 11:14 AM";"10 May 2018 01:58 PM";"KKTCGBS-R-1.10.3.1.7";"SRS_BYD_7.10.3.1_007";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Beyaz kutu, Kara kutu, Dinamik, Arayüz Tekniği";"Sistem Testi, Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Uyumluluk Testi, Regresyon Testi, Otomatik Testi";"";"KKTCGBS-R272 {1}";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1084";""
"KKTCGBS-R223 {2}";"Yazılım LDAP sunucu bilgilerinin tanımlanması aşamasında test edilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"12 Mar 2018 11:28 AM";"10 May 2018 03:58 PM";"KKTCGBS-R-1.10.3.1.8";"SRS_BYD_7.10.3.1_008";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Beyaz kutu, Kara kutu";"Sistem Testi, Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Regresyon Testi, Otomatik Testi";"";"KKTCGBS-R272 {1}";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1084";""
"KKTCGBS-R224 {2}";"Yazılım LDAP sunucu bilgilerinin listelenmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:00 PM";"KKTCGBS-R-1.10.3.1.9";"SRS_BYD_7.10.3.1_009";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Gösterim";"Kara kutu, Arayüz Tekniği";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Uyumluluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1083";""
"KKTCGBS-R225 {2}";"Yazılım LDAP sunucu bilgilerinin görüntülenmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:01 PM";"KKTCGBS-R-1.10.3.1.10";"SRS_BYD_7.10.3.1_010";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Beyaz kutu";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1085";""
"KKTCGBS-R226 {2}";"Yazılım LDAP sunucu bilgilerinin güncellenmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:02 PM";"KKTCGBS-R-1.10.3.1.11";"SRS_BYD_7.10.3.1_011";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Dinamik, Beyaz kutu";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1086";""
"KKTCGBS-R227 {2}";"Yazılım LDAP sunucu bilgilerinin silinmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:03 PM";"KKTCGBS-R-1.10.3.1.12";"SRS_BYD_7.10.3.1_012";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Beyaz kutu, Arayüz Tekniği";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi, Uyumluluk Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1860";""
"KKTCGBS-R923 {2}";"Yazılım LDAP sunucu bilgilerinin listelenmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"cbalkan";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:03 PM";"KKTCGBS-R-1.10.3.1.13";"SRS_BYD_7.10.3.1_013";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Gösterim";"Kara kutu, Arayüz Tekniği";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi, Uyumluluk Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1083";""
"KKTCGBS-R924 {2}";"Yazılım LDAP sunucu bilgilerinin liste üzerinden filtrelenmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Minor";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"cbalkan";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:04 PM";"KKTCGBS-R-1.10.3.1.14";"SRS_BYD_7.10.3.1_014";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Gösterim";"Kara kutu, Arayüz Tekniği, Beyaz kutu";"Alfa Testi, Birim Testi";"Makulluk Testi, Regresyon Testi, Otomatik Testi, Uyumluluk Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1083";""
"KKTCGBS-R925 {2}";"Yazılım LDAP sunucu bilgilerinin liste üzerinden sıralanmasına olanak sağlayacaktır.  ";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Minor";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R194 {1}";"";"";"cbalkan";"0";"";"10 May 2018 11:14 AM";"10 May 2018 04:05 PM";"KKTCGBS-R-1.10.3.1.15";"SRS_BYD_7.10.3.1_015";"";"Hayır";"";"Hayır";"";"Muayene, Analiz, Gösterim";"Kara kutu, Arayüz Tekniği";"Alfa Testi, Birim Testi";"Makulluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"KKTCGBS-496";"KKTCGBS-1083";""
"KKTCGBS-R1359 {2}";"Yazılım dizin sunucusu seçili olan kullanıcıların sadece dizin sunucusu üzerinden doğrulanmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Medium";"Yes";"Very High";"0";"RC-1.0";"Open";"KKTCGBS-R194 {1}";"";"";"talipk";"0";"";"10 May 2018 11:14 AM";"21 Jun 2018 07:12 PM";"KKTCGBS-R-1.10.3.1.16";"SRS_BYD_7.10.3.1_016";"";"Hayır";"";"Hayır";"";"Muayene, Analiz";"Beyaz kutu, Kara kutu";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Sistem Testi, Birim Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"KKTCGBS-2052, KKTCGBS-2060, KKTCGBS-2069";"";"";"";"KKTCGBS-496";"KKTCGBS-1895";""
